timestamp,region,events,base_risk,goes_memory,max_goes,risk_v2
2026-07-23T23:50:05.532718+00:00,14479,47,0.25,2.0,100,0.5
2026-07-23T23:50:05.532789+00:00,14475,3,0.25532,1.5,10,0.38298
2026-07-23T23:50:05.532814+00:00,14473,3,0.08561,1.5,10,0.12842
2026-07-23T23:50:05.532832+00:00,14472,1,0.03327,1.5,10,0.04991
2026-07-23T23:50:05.532848+00:00,14480,4,0.0,1.5,10,0.0
2026-07-23T23:50:05.532863+00:00,14478,4,0.0,1.5,10,0.0
2026-07-23T23:50:05.532877+00:00,14482,4,0.0,2.0,100,0.0
2026-07-23T23:50:05.532890+00:00,14485,4,0.0,1.5,10,0.0
2026-07-23T23:50:05.532904+00:00,UNKNOWN,1,0.0,1.1,1,0.0
