timestamp,event_date,region,lag_days,ftrt
2026-07-15T12:35:50.815304+00:00,2026-07-01,14480,-1,7.742445
2026-07-15T12:35:50.815313+00:00,2026-07-01,14480,0,0
2026-07-15T12:35:50.815321+00:00,2026-07-01,14479,-7,2.420787
2026-07-15T12:35:50.815331+00:00,2026-07-01,14479,-3,7.24633
2026-07-15T12:35:50.815340+00:00,2026-07-01,14479,-1,7.742445
2026-07-15T12:35:50.815349+00:00,2026-07-01,14479,0,0
2026-07-15T12:35:50.815357+00:00,2026-07-01,14475,-7,2.420787
2026-07-15T12:35:50.815367+00:00,2026-07-01,14475,-3,7.24633
2026-07-15T12:35:50.815376+00:00,2026-07-01,14475,-1,7.742445
2026-07-15T12:35:50.815386+00:00,2026-07-01,14475,0,0
2026-07-15T12:35:50.815393+00:00,2026-07-01,14479,-7,2.420787
2026-07-15T12:35:50.815403+00:00,2026-07-01,14479,-3,7.24633
2026-07-15T12:35:50.815412+00:00,2026-07-01,14479,-1,7.742445
2026-07-15T12:35:50.815421+00:00,2026-07-01,14479,0,0
2026-07-15T12:35:50.815429+00:00,2026-07-01,14478,-7,2.420787
2026-07-15T12:35:50.815438+00:00,2026-07-01,14478,-3,7.24633
2026-07-15T12:35:50.815447+00:00,2026-07-01,14478,-1,7.742445
2026-07-15T12:35:50.815458+00:00,2026-07-01,14478,0,0
2026-07-15T12:35:50.815469+00:00,2026-07-01,14478,-7,2.420787
2026-07-15T12:35:50.815478+00:00,2026-07-01,14478,-3,7.24633
2026-07-15T12:35:50.815487+00:00,2026-07-01,14478,-1,7.742445
2026-07-15T12:35:50.815497+00:00,2026-07-01,14478,0,0
2026-07-15T12:35:50.815506+00:00,2026-07-02,14479,-7,6.508589
2026-07-15T12:35:50.815514+00:00,2026-07-02,14479,-3,7.494735
2026-07-15T12:35:50.815525+00:00,2026-07-02,14479,-1,0
2026-07-15T12:35:50.815533+00:00,2026-07-02,14479,0,0
2026-07-15T12:35:50.815541+00:00,2026-07-02,14479,-7,6.508589
2026-07-15T12:35:50.815550+00:00,2026-07-02,14479,-3,7.494735
2026-07-15T12:35:50.815558+00:00,2026-07-02,14479,-1,0
2026-07-15T12:35:50.815566+00:00,2026-07-02,14479,0,0
2026-07-15T12:35:50.815574+00:00,2026-07-02,14479,-7,6.508589
2026-07-15T12:35:50.815583+00:00,2026-07-02,14479,-3,7.494735
2026-07-15T12:35:50.815592+00:00,2026-07-02,14479,-1,0
2026-07-15T12:35:50.815600+00:00,2026-07-02,14479,0,0
2026-07-15T12:35:50.815608+00:00,2026-07-03,14480,-7,6.75219
2026-07-15T12:35:50.815617+00:00,2026-07-03,14480,-3,7.742445
2026-07-15T12:35:50.815626+00:00,2026-07-03,14480,-1,0
2026-07-15T12:35:50.815634+00:00,2026-07-03,14480,0,0
2026-07-15T12:35:50.815642+00:00,2026-07-03,14479,-7,6.75219
2026-07-15T12:35:50.815650+00:00,2026-07-03,14479,-3,7.742445
2026-07-15T12:35:50.815659+00:00,2026-07-03,14479,-1,0
