variable,lag,pearson
lambda_min,-27,-0.010888747104521687
lambda_min,-26,-0.007362719054282983
lambda_min,-25,-0.006945253865144457
lambda_min,-24,-0.0035271255601877975
lambda_min,-23,-0.005540027406701219
lambda_min,-22,-0.007377403620499222
lambda_min,-21,-0.01695269737615087
lambda_min,-20,-0.018929557918140057
lambda_min,-19,-0.0190194047864054
lambda_min,-18,-0.020644559806756075
lambda_min,-17,-0.014121536395677124
lambda_min,-16,-0.008738248252940966
lambda_min,-15,-0.009449432734447451
lambda_min,-14,-0.006615507230441639
lambda_min,-13,-0.013875269506109364
lambda_min,-12,-0.020240356639384123
lambda_min,-11,-0.01826515073311685
lambda_min,-10,-0.024955509154900073
lambda_min,-9,-0.022267796539551948
lambda_min,-8,-0.024803757986966365
lambda_min,-7,-0.016870498641290664
lambda_min,-6,-0.008718935399196283
lambda_min,-5,-0.008993018184602087
lambda_min,-4,-0.012637671750352727
lambda_min,-3,-0.01442479281871139
lambda_min,-2,-0.010706330149875598
lambda_min,-1,-0.009064407354770262
lambda_min,0,-0.005562787795784737
lambda_min,1,-0.004041357518170074
lambda_min,2,0.0023084447786279124
lambda_min,3,0.0046546973529404435
lambda_min,4,0.012828595367761817
lambda_min,5,0.020288466425611697
lambda_min,6,0.019182030402186676
lambda_min,7,0.01779987235356096
lambda_min,8,0.016548303689006148
lambda_min,9,0.012724820963520077
lambda_min,10,0.01618611377482799
lambda_min,11,-0.00019705879175507476
lambda_min,12,-0.0013017396624224302
lambda_min,13,-0.008587326777711339
lambda_min,14,-0.011548732993158875
lambda_min,15,-0.013649883358480799
lambda_min,16,-0.01652046219865274
lambda_min,17,-0.014838251297010623
lambda_min,18,-0.015445640400497972
lambda_min,19,-0.014368400565237477
lambda_min,20,-0.004074905968945535
lambda_min,21,0.0035573409469208134
lambda_min,22,0.010199813672375515
lambda_min,23,0.011204830692021404
lambda_min,24,0.0034855746747401474
lambda_min,25,0.006788387978526635
lambda_min,26,0.00900429250174007
lambda_min,27,0.012135291700711433
lambda_min,28,0.008079014535771587
lambda_min,29,0.0012191347062299885
lambda_min,30,0.011446489529814332
lambda_min,31,0.009008472875223425
lambda_min,32,0.008562320990883955
lambda_min,33,0.013778052541296586
lambda_min,34,0.012257522029318544
lambda_min,35,0.009956846517362158
lambda_min,36,0.006257889091677809
lambda_min,37,0.003538015180479436
lambda_min,38,0.002023735578005811
lambda_min,39,0.006505410758541458
lambda_min,40,0.009932202965271583
lambda_min,41,0.010116668414955891
lambda_min,42,0.011996905174058353
lambda_min,43,0.015026168025485724
lambda_min,44,0.01578960770149378
lambda_min,45,0.017794929916691512
lambda_min,46,0.01566905213837304
lambda_min,47,0.0145776879872917
lambda_min,48,0.017619515932497488
lambda_min,49,0.024091342472443104
lambda_min,50,0.014872519508130393
lambda_min,51,0.01295077723655267
lambda_min,52,0.011137006353129758
lambda_min,53,0.007527039634714573
