timestamp,region,events,activity_score,persistence_index,max_ftrt,risk_index
2026-07-15T12:23:35.646082+00:00,14475,3,1.5,1.0,7.742445,0.25532
2026-07-15T12:23:35.646118+00:00,14479,47,5.875,0.25,7.742445,0.25
2026-07-15T12:23:35.646130+00:00,14473,3,1.5,1.5,1.730706,0.08561
2026-07-15T12:23:35.646140+00:00,14472,1,1.0,1.0,1.513223,0.03327
2026-07-15T12:23:35.646149+00:00,14480,4,0.8,0.0,0.0,0.0
2026-07-15T12:23:35.646156+00:00,14478,4,1.0,0.0,0.0,0.0
2026-07-15T12:23:35.646163+00:00,14482,4,0.6667,0.0,0.0,0.0
2026-07-15T12:23:35.646171+00:00,14485,4,1.0,0.0,0.0,0.0
2026-07-15T12:23:35.646178+00:00,UNKNOWN,1,1.0,0.0,0.0,0.0
