timestamp,threshold,observed,null_mean,null_std,z_score,p_value
2026-07-23T23:49:56.661332+00:00,0,8,39.167,4.163777696331835,-7.485269933468639,1.0
2026-07-23T23:49:57.739445+00:00,1,8,32.9466,4.132173269067085,-6.03716213614444,1.0
2026-07-23T23:49:58.798304+00:00,2,4,26.8085,4.0884103585533085,-5.578818660480752,1.0
2026-07-23T23:49:59.858095+00:00,3,4,21.2427,3.8232000203807783,-4.510017762105652,1.0
2026-07-23T23:50:00.906525+00:00,4,4,17.371,3.571867134074607,-3.743420317190531,1.0
2026-07-23T23:50:01.951434+00:00,5,4,13.9112,3.3193096182239707,-2.9859221163294443,0.9997
2026-07-23T23:50:02.998282+00:00,6,4,10.7894,2.9690283179712673,-2.2867414092699483,0.9962
2026-07-23T23:50:04.046495+00:00,7,4,7.7557,2.5905768892009142,-1.4497543059447573,0.9589
