timestamp,lag_days,pearson,samples
2026-07-15T23:13:01.900468+00:00,-30,0.0,2343
2026-07-15T23:13:01.900871+00:00,-29,0.0,2344
2026-07-15T23:13:01.901198+00:00,-28,0.0,2345
2026-07-15T23:13:01.901506+00:00,-27,0.0,2346
2026-07-15T23:13:01.901797+00:00,-26,0.0,2347
2026-07-15T23:13:01.902087+00:00,-25,0.0,2348
2026-07-15T23:13:01.902360+00:00,-24,0.0,2349
2026-07-15T23:13:01.902641+00:00,-23,0.0,2350
2026-07-15T23:13:01.902920+00:00,-22,0.0,2351
2026-07-15T23:13:01.903204+00:00,-21,0.0,2352
2026-07-15T23:13:01.903488+00:00,-20,0.0,2353
2026-07-15T23:13:01.903793+00:00,-19,0.0,2354
2026-07-15T23:13:01.904076+00:00,-18,0.0,2355
2026-07-15T23:13:01.904355+00:00,-17,0.0,2356
2026-07-15T23:13:01.904633+00:00,-16,0.0,2357
2026-07-15T23:13:01.904897+00:00,-15,0.0,2358
2026-07-15T23:13:01.905174+00:00,-14,0.0,2359
2026-07-15T23:13:01.905448+00:00,-13,0.0,2360
2026-07-15T23:13:01.905729+00:00,-12,0.0,2361
2026-07-15T23:13:01.906041+00:00,-11,0.0,2362
2026-07-15T23:13:01.906291+00:00,-10,0.027227,2363
2026-07-15T23:13:01.906581+00:00,-9,0.037901,2364
2026-07-15T23:13:01.906848+00:00,-8,0.03667,2365
2026-07-15T23:13:01.907114+00:00,-7,0.035439,2366
2026-07-15T23:13:01.907370+00:00,-6,0.034214,2367
2026-07-15T23:13:01.907639+00:00,-5,0.033,2368
2026-07-15T23:13:01.907952+00:00,-4,0.022224,2369
2026-07-15T23:13:01.908238+00:00,-3,0.011469,2370
2026-07-15T23:13:01.908511+00:00,-2,0.010308,2371
2026-07-15T23:13:01.908781+00:00,-1,0.017737,2372
2026-07-15T23:13:01.908993+00:00,0,0.030879,2373
2026-07-15T23:13:01.909247+00:00,1,0.029379,2372
2026-07-15T23:13:01.909518+00:00,2,0.027902,2371
2026-07-15T23:13:01.909782+00:00,3,0.026453,2370
2026-07-15T23:13:01.910044+00:00,4,0.02504,2369
2026-07-15T23:13:01.910305+00:00,5,0.016808,2368
2026-07-15T23:13:01.910567+00:00,6,0.00222,2367
2026-07-15T23:13:01.910827+00:00,7,0.004594,2366
2026-07-15T23:13:01.911087+00:00,8,0.007029,2365
2026-07-15T23:13:01.911354+00:00,9,0.005868,2364
2026-07-15T23:13:01.911616+00:00,10,0.004781,2363
2026-07-15T23:13:01.911902+00:00,11,0.003775,2362
2026-07-15T23:13:01.912170+00:00,12,0.00286,2361
2026-07-15T23:13:01.912430+00:00,13,0.002046,2360
2026-07-15T23:13:01.912693+00:00,14,-0.004151,2359
2026-07-15T23:13:01.912952+00:00,15,-0.013886,2358
2026-07-15T23:13:01.913215+00:00,16,-0.0125,2357
2026-07-15T23:13:01.913481+00:00,17,-0.007294,2356
2026-07-15T23:13:01.913740+00:00,18,-0.007398,2355
2026-07-15T23:13:01.914005+00:00,19,-0.007301,2354
2026-07-15T23:13:01.914264+00:00,20,-0.006978,2353
2026-07-15T23:13:01.914532+00:00,21,-0.0064,2352
2026-07-15T23:13:01.914792+00:00,22,-0.005536,2351
2026-07-15T23:13:01.915054+00:00,23,-0.006189,2350
2026-07-15T23:13:01.915303+00:00,24,-0.010164,2349
2026-07-15T23:13:01.915562+00:00,25,-0.008292,2348
2026-07-15T23:13:01.915846+00:00,26,-0.006057,2347
2026-07-15T23:13:01.916115+00:00,27,-0.003475,2346
2026-07-15T23:13:01.916377+00:00,28,-0.000594,2345
2026-07-15T23:13:01.916639+00:00,29,0.0025,2344
2026-07-15T23:13:01.916896+00:00,30,0.005665,2343
