timestamp,region,events,duration_days,events_per_day,ftrt_days,high_ftrt_days,persistence_index,mean_ftrt,max_ftrt,activity_score,ftrt_activity_ratio
2026-07-23T23:50:05.077629+00:00,14472,1,1,1.0,1,1,1.0,1.513223,1.513223,1.0,1.0
2026-07-23T23:50:05.077703+00:00,14473,3,2,1.5,3,3,1.5,1.658212,1.730706,1.5,1.0
2026-07-23T23:50:05.077748+00:00,14479,47,8,5.875,2,2,0.25,7.61859,7.742445,5.875,0.0426
2026-07-23T23:50:05.077781+00:00,14475,3,2,1.5,2,2,1.0,7.742445,7.742445,1.5,0.6667
2026-07-23T23:50:05.077810+00:00,14480,4,5,0.8,0,0,0.0,,,0.8,0.0
2026-07-23T23:50:05.077838+00:00,14478,4,4,1.0,0,0,0.0,,,1.0,0.0
2026-07-23T23:50:05.077862+00:00,14482,4,6,0.6667,0,0,0.0,,,0.6667,0.0
2026-07-23T23:50:05.077889+00:00,14485,4,4,1.0,0,0,0.0,,,1.0,0.0
2026-07-23T23:50:05.077913+00:00,UNKNOWN,1,1,1.0,0,0,0.0,,,1.0,0.0
