timestamp,region,first_date,last_date,duration_days,events,events_per_day,ftrt_count,mean_ftrt,max_ftrt
2026-07-23T23:50:04.434204+00:00,14472,2026-06-20,2026-06-20,1,1,1.0,1,1.513223,1.513223
2026-07-23T23:50:04.434458+00:00,14473,2026-06-20,2026-06-21,2,3,1.5,3,1.6582116666666666,1.730706
2026-07-23T23:50:04.434648+00:00,14479,2026-06-29,2026-07-06,8,47,5.875,2,7.61859,7.742445
2026-07-23T23:50:04.434797+00:00,14475,2026-06-30,2026-07-01,2,3,1.5,2,7.742445,7.742445
2026-07-23T23:50:04.434932+00:00,14480,2026-07-01,2026-07-05,5,4,0.8,0,,
2026-07-23T23:50:04.435112+00:00,14478,2026-07-01,2026-07-04,4,4,1.0,0,,
2026-07-23T23:50:04.435239+00:00,14482,2026-07-04,2026-07-09,6,4,0.6667,0,,
2026-07-23T23:50:04.435360+00:00,14485,2026-07-09,2026-07-12,4,4,1.0,0,,
2026-07-23T23:50:04.435470+00:00,,2026-07-14,2026-07-14,1,1,1.0,0,,
