timestamp,region,duration_days,events,events_per_day,ftrt_days,high_ftrt_days,persistence_index,mean_ftrt,max_ftrt
2026-07-21T15:01:34.017702+00:00,14472,1,1,1.0,1,1,1.0,1.513223,1.513223
2026-07-21T15:01:34.017801+00:00,14473,2,3,1.5,3,3,1.5,1.658212,1.730706
2026-07-21T15:01:34.018002+00:00,14479,8,47,5.875,2,2,0.25,7.61859,7.742445
2026-07-21T15:01:34.018041+00:00,14475,2,3,1.5,2,2,1.0,7.742445,7.742445
2026-07-21T15:01:34.018076+00:00,14480,5,4,0.8,0,0,0.0,,
2026-07-21T15:01:34.018108+00:00,14478,4,4,1.0,0,0,0.0,,
2026-07-21T15:01:34.018137+00:00,14482,6,4,0.6667,0,0,0.0,,
2026-07-21T15:01:34.018169+00:00,14485,4,4,1.0,0,0,0.0,,
2026-07-21T15:01:34.018190+00:00,UNKNOWN,1,1,1.0,0,0,0.0,,
