timestamp,removed_region,events_remaining,ftrt_hits,mean_ftrt,max_ftrt
2026-07-23T23:50:04.607672+00:00,,70,8,4.651241,7.742445
2026-07-23T23:50:04.608007+00:00,14472,70,7,5.099529,7.742445
2026-07-23T23:50:04.608132+00:00,14473,68,5,6.447059,7.742445
2026-07-23T23:50:04.608249+00:00,14475,68,6,3.62084,7.742445
2026-07-23T23:50:04.608366+00:00,14478,67,8,4.651241,7.742445
2026-07-23T23:50:04.608460+00:00,14479,24,6,3.662125,7.742445
2026-07-23T23:50:04.608570+00:00,14480,67,8,4.651241,7.742445
2026-07-23T23:50:04.608676+00:00,14482,67,8,4.651241,7.742445
2026-07-23T23:50:04.608782+00:00,14485,67,8,4.651241,7.742445
