lambda_max,lambda_min,energia,rango,entropia,coherencia,fecha
3.0000000000000004,-3.688849843750953e-16,18.000000000000004,2,0.6931471805599453,0.5000000000000001,2026-01-01T00:00:00
3.0158586400839464,-3.549454942714299e-16,18.00050299293062,2,0.6930912945388017,0.5052860656472239,2026-01-02T00:00:00
3.0322879115705157,-4.967497225793412e-16,18.00208501846717,2,0.692915547617283,0.5107613906513808,2026-01-03T00:00:00
3.0492793830795906,-1.531777078580419e-16,18.00485691519342,2,0.6926077174145346,0.5164220298928358,2026-01-04T00:00:00
3.0668241048440774,-4.633469741994646e-16,18.00893092197642,2,0.6921555120262302,0.5222636552275954,2026-01-05T00:00:00
3.0849126190362997,-1.3910438771789087e-15,18.014420305743204,2,0.6915466344110475,0.5282815492017455,2026-01-06T00:00:00
3.103534970043913,-4.807910746621612e-16,18.021438980043985,2,0.6907688499028437,0.5344706003195069,2026-01-07T00:00:00
3.12268071473909,-1.76193074800014e-16,18.030101115537796,2,0.6898100565201384,0.540825300075561,2026-01-08T00:00:00
3.1423389327781157,-7.346712505613587e-16,18.040520743568823,2,0.6886583576829546,0.5473397419513595,2026-01-09T00:00:00
3.1624982369628296,-4.963610286517493e-16,18.052811354032052,2,0.6873021368857324,0.5540076225611928,2026-01-10T00:00:00
3.183146783690444,-3.762646447391726e-16,18.067085488752312,2,0.6857301338151578,0.5608222451167773,2026-01-11T00:00:00
3.2042722835139554,-2.9153206143683086e-16,18.08345433162401,2,0.6839315213446946,0.567776525358895,2026-01-12T00:00:00
3.225862011831715,-2.573439251037194e-16,18.10202729677733,2,0.6818959827847307,0.5748630000812976,2026-01-13T00:00:00
3.2479028197214523,-4.138834694575496e-16,18.122911616051702,2,0.67961378872,0.582073838345671,2026-01-14T00:00:00
3.2703811449311897,-3.8785239984264127e-16,18.1462119270686,2,0.6770758727257329,0.5894008554571758,2026-01-15T00:00:00
3.2932830230371146,-1.3944677888998304e-16,18.172029863203573,2,0.6742739052221758,0.596835529738254,2026-01-16T00:00:00
3.3165940987761195,-7.557590039196346e-16,18.20046364675972,2,0.6712003647050094,0.6043690221042751,2026-01-17T00:00:00
3.340299637558953,-1.0836871574117036e-15,18.23160768664551,2,0.6678486055779229,0.6119921984087732,2026-01-18T00:00:00
3.364384537168113,-8.947626315352832e-16,18.26555218185444,2,0.6642129218141308,0.6196956544889249,2026-01-19T00:00:00
3.3888333396431616,-4.594677411552785e-16,18.302382732036108,2,0.6602886056867256,0.6274697438041952,2026-01-20T00:00:00
3.4136302433547376,-4.1113783016943865e-16,18.342179956435395,2,0.6560720008339201,0.6353046075233653,2026-01-21T00:00:00
3.4387591152673656,-5.57673331176102e-16,18.385019122460406,2,0.6515605489646668,0.6431902068781686,2026-01-22T00:00:00
3.4642035033901,-7.676808026050384e-16,18.430969785119277,2,0.6467528295627254,0.6511163575662375,2026-01-23T00:00:00
3.489946649413022,-4.537739132424419e-16,18.4800954385421,2,0.6416485920125956,0.6590727659526654,2026-01-24T00:00:00
3.5159715015267636,-7.389778434133944e-16,18.53245318077557,2,0.6362487796479945,0.6670490667890641,2026-01-25T00:00:00
3.542260727421489,-6.133068521089376e-16,18.588093393007362,2,0.6305555453117329,0.6750348621420684,2026-01-26T00:00:00
3.5687967274609367,-2.7372360078600915e-16,18.647059434340548,2,0.6245722581134528,0.6830197612005579,2026-01-27T00:00:00
3.5955616480266017,-8.067980580787908e-16,18.70938735320032,2,0.6183035011770761,0.6909934206129081,2026-01-28T00:00:00
3.622537395026505,-7.915224936903623e-16,18.775105616412773,2,0.61175506028106,0.69894558499281,2026-01-29T00:00:00
3.6497056475624117,-5.562042267737037e-16,18.844234856948983,2,0.6049339034095085,0.7068661272249513,2026-01-30T00:00:00
