timestamp,region,events,duration_days,mean_ftrt,contribution_percent
2026-07-15T11:00:20.101431Z,14475,3,2,7.742445,41.778
2026-07-15T11:00:20.101421Z,14479,47,8,7.61859,41.109
2026-07-15T11:00:20.101405Z,14473,3,2,1.6582116666666666,8.948
2026-07-15T11:00:20.101336Z,14472,1,1,1.513223,8.165
2026-07-15T11:00:20.101440Z,14480,4,5,0,0.0
2026-07-15T11:00:20.101449Z,14478,4,4,0,0.0
2026-07-15T11:00:20.101456Z,14482,4,6,0,0.0
2026-07-15T11:00:20.101464Z,14485,4,4,0,0.0
2026-07-15T11:00:20.101471Z,,1,1,0,0.0
