timestamp,lag_days,events,with_ftrt,mean_ftrt,max_ftrt
2026-07-21T15:01:33.330594+00:00,-7,71,64,5.082981578125,7.742445
2026-07-21T15:01:33.335323+00:00,-3,71,33,6.565075060606061,7.742445
2026-07-21T15:01:33.339886+00:00,-1,71,24,6.635105791666667,7.742445
2026-07-21T15:01:33.344268+00:00,0,71,8,4.651241,7.742445
2026-07-21T15:01:33.348768+00:00,1,71,5,3.0227530000000002,7.742445
2026-07-21T15:01:33.353227+00:00,3,71,4,2.3030115,2.420787
2026-07-21T15:01:33.357737+00:00,7,71,4,7.122387,7.24633
